"","Study_ID","Reference"
"1","study 32","Afifi and Alkaladi, 2014"
"2","study334","Giraud-Billoud et al 2018"
"3","study112","Samanta and Paital 2016"
"4","study 245","Sahoo and Patnaik 2020"
"5","study 350","Sahoo and Patnaik 2021"
"6","study 98","Giroud et al., 2009"
"7","study 168","Wu et al., 2015"
"8","study 362","Tessier et al., 2027"
"9","study 140","Anegawa et al., 2021"
"10","study 347","Okamoto et al., 2006"
"11","study55","Oborne and Hashimoto 2006"
"12","study 57","Osborne and Hashimoto, 2007"
"13","study 116","Ohta et al., 2009"
"14","study 161","Lushchak et al. 2005"
"15","study319","Niu et al. 2019"
"16","study 288","Prez-Pinzon and Rice, 1995"
"17","study 320","Logan et al. 2020"
"18","study 273","Wang et al., 2020"
"19","study364","Nowakowska et al 2009"
"20","study 383","Hermes-Lima and Storey, 1995"
"21","study301","Wróbel et al 2000"
"22","study 170","Bagnyukova et al., 2003"
"23","study 287","Feidantsis et al., 2013"
"24","study 29","Yin et al., 2016"
"25","study 309","Avci et al., 2014"
"26","study 365","Carey et al., 200"
"27","study106","Avci et al 2014"
"28","study 267"," Serkova et al., 2007"
"29","study 81","Wei et al., 2018"
"30","study 257","Orr et al., 2009"
"31","study274","Wai et al. 2019"
"32","study 173","Page et al. 2009"
"33","study 165","Fedotcheva et al., 2008"
"34","study 238","Astaeva and Klichkhanov 2009"
"35","study 147","Carey et al., 2003"
"36","study238","Astaeva and Klichkhanov 2009"
"37","study 144","Xu et al., 2013"
"38","study148","Carey et al 2000"
"39","study 215","Brown et al., 2011"
"40","study 66","Carey et al., 2000"
"41","study70","Roubel et al 2011"
"42","study100","Xu et al 2021"
"43","study 125"," and Storey 2012"
"44","study 8","Ma et al. 2005"
"45","study 26","Morin and Storey 2008"
"46","study127","Morin et al 2008"
"47","study217","Tessier et al 2021"
"48","study 339","Mikes et al. 2022"
"49","study313","Rob et al 2013"
"50","study 39","Drew et al., 1999"
"51","study 416","Klanian"
"52","study235","Vicente-Ferreira et al 2021"
"53","study 299"," Moreira et al., 2030"
"54","study31","Zhang et al 2017"
"55","study27","Tang et al, 2021"
"56","study 258","Chen et al., 2018 "
"57","study 138","Zhang et al., 2017"
"58","study 141","Giroud et al., 2021"
"59","study 186","Chazarin et al., 2019"
"60","study166","Chauhan et al 2002"
"61","study142","Moore et al 2013"
"62","study516","Cooper et al 2016"
"63","study543","Bohr et al 2014"
"64","study632","Kurtz and Carey 2007"
"65","study678","Talaei et al 2012"
"66","study647","Schwanz et al. 2011"
"67","study544","Bauma et al 2013"
"68","study619","Franco et al 2013"
"69","Study474","Sahdo et al 2013"
"70","study512","Shi et al 2020"
"71","study538","Moore et al 2013"
"72","study499","Miao et al 2022"
"73","study617","Logan and Storey 2018"
"74","study567","Logan and Storey 2020"
"75","study495","Sprenger et al 2018"
"76","study531","Liu et al 2016"
"77","study533","Maniero 2005"
"78","study486","Maniero 2002"
"79","study539","Cooper et al 1992"
"80","study500","Huber et al 2021"
"81","study578","Bouma et al 2011"
"82","Study_765","Dauphin-Villemant et al 1990"
"83","Study_1412","Lutterschmidt and Mason 2009"
"84","Study_1615","Lutterschmidt and Mason 2008"
"85","Study_1681","Xie et al 2022"
"86","Study_1682","Xie et al 2021"
"87","Study_1901","Lutterschmidt et al 2022"
"88","Study_1952","Fan et al 2019"
"89","Study_2423","Zena et al 2019"
"90","Study_951","Donahue et al 2003"
"91","Study_1089","Shivatcheva et al 1988"
"92","Study_1239","Frobert et al 2022"
"93","Study_1279","Tsiouris and Flory 2023"
"94","Study_1677","Dori et al 2024"
"95","Study_1705","Weitten et al 2013"
"96","Study_2299","Vella et al 2020"
"97","Study_2317","Kastner et al 1978"
"98","Study_2496","Donahue et al 2003"
"99","Study_2699","Gustafson and Belt 1981"
"100","Study_1728","Bitting et al 1999"
"101","study421","Giraud-Billoud et al 2013"
"102","study427","Giraud-Billoud et al 2011"
"103","study 356","Nowakowska et al., 2015"
"104","study 285","Ramos-Vasconcelos et al., 2005"
"105","study 381","Giraud-Billoud et al., 2012"
"106","study349","Page et al 2009"
"107","study382","Grund and Storey 1998"
"108","study268","Salway et al 2010"
"109","study385","Giraud-Billoud et al 2022"
"110","study391","Nowakowska et al 2011"
"111","study 182"," et al. 2005"
"112","study 368","Nowakowska et al., 2010"
"113","study 386","Nowakowska et al., 2009"
"114","study 395","Nowakowska et al., 2014"
"115","study 422","Ferreira et al., 2003"
"116","study 427","Giraud-Billoud et al., 2011"
"117","study 393","Young et al., 2012"
"118","study 405","Bhunia et al., 2016"
"119","study 411","Moreira et al., 2021"
"120","study 417","Moreira et al., 2021"
