"","Study_ID","Tissue","Euthermia_M","n"
"1","study567","brown adipose tissue (BAT)",1,16
"2","study567","brown adipose tissue (BAT)",0.996879875195007,12
"3","study567","white adipose tissue (WAT)",1.0108864696734,10
"4","study617","White adipose tissue (WAT)",1.00163666121112,9
"5","study617","brown adipose tissue (BAT)",1.00327868852459,6
"6","study617","Brown adipose tissue (BAT)",1.00620567375886,4
"7","study617","White adipose tissue (WAT)",0.996705107084019,4
"8","study617","brown adipose tissue (BAT)",0.993442622950819,4
"9","study539","blood",56359647.7794793,3
"10","study539","blood",56512771.8223583,3
"11","study539","blood",69987687.5957121,3
"12","study539","blood",78256385.9111791,3
"13","study539","blood",83615727.4119448,3
"14","study567","white adipose tissue (WAT)",0.995334370139969,3
"15","study486","blood",68.6261980830671,2
"16","study533","spleen",47.6831683168316,2
"17","study533","spleen",48.6336633663366,2
"18","study533","spleen",49.2673267326732,2
"19","study567","brown adipose tissue (BAT)",0.995652173913043,2
"20","study567","brown adipose tissue (BAT)",1.00390015600624,2
"21","study567","white adipose tissue (WAT)",1,2
"22","study567","white adipose tissue (WAT)",1.0054945054945,2
"23","study617","White adipose tissue (WAT)",0.988467874794069,2
"24","study632","gut",14.5544554455445,2
"25","study632","gut",31.4634146341463,2
"26","study632","gut",89.3203883495144,2
"27","study632","gut",142.574257425742,2
"28","study632","gut",186.206896551724,2
"29","study632","gut",1136.23188405797,2
"30","study678","lung",0.0647368421052632,2
"31","study678","lung",0.0976744186046512,2
"32","study678","lung",0.583018867924528,2
"33","study678","lung",3.25609756097561,2
