"","Study_ID","Tissue","Euthermia_M","n"
"1","study_70","brown_adipose_tissue",0.999252336448598,10
"2","study_70","white_adipose_tissue",1.00372439478584,10
"3","study_125","muscle",0.99501,6
"4","study_127","Heart",1,4
"5","study_217","Muscle",0.99837925445705,4
"6","study_125","muscle",0.99018,3
"7","study_125","muscle",0.99607,3
"8","study_144","muscle",1.0177,3
"9","study_147","intestine",0.29948,3
"10","study_147","intestine",3.10127,3
"11","study_147","intestine",3.68182,3
"12","study_147","intestine",8.18024,3
"13","study_147","intestine",18.01093,3
"14","study_147","intestine",30.18966,3
"15","study_168","heart",1.00189,3
"16","study_168","kidney",1.00951,3
"17","study_168","liver",1.0153,3
"18","study_168","white_adipose_tissue",1.0113,3
"19","study_365","intestine__",10.8642,3
"20","study_148","Intestine",0.42397476340694,2
"21","study_168","heart",1.00755,2
"22","study_168","kidney",1.0038,2
"23","study_168","liver",1.00382,2
"24","study_168","muscle",1.00191,2
"25","study_186","muscle",1.00474,2
"26","study_217","Muscle",0.992706645056725,2
"27","study_267","liver",2.09,2
"28","study_267","liver",4.13,2
"29","study_274","fast-twitch_extensor_digitorum_longus",0.295454545454545,2
"30","study_274","fast-twitch_extensor_digitorum_longus",0.319223985890652,2
"31","study_274","fast-twitch_extensor_digitorum_longus",0.338624338624338,2
"32","study_274","fast-twitch_extensor_digitorum_longus",0.455026455026454,2
"33","study_274","fast-twitch_extensor_digitorum_longus",0.476190476190476,2
"34","study_274","fast-twitch_extensor_digitorum_longus",28.5483870967741,2
"35","study_274","fast-twitch_extensor_digitorum_longus",29.7846889952153,2
"36","study_274","fast-twitch_extensor_digitorum_longus",90.7142857142857,2
"37","study_274","fast-twitch_extensor_digitorum_longus",114.193548387096,2
"38","study_274","fast-twitch_extensor_digitorum_longus",406.976744186046,2
"39","study_274","fast-twitch_extensor_digitorum_longus",872.093023255814,2
"40","study_274","mixed_gastrocnemius",0.218694885361552,2
"41","study_274","mixed_gastrocnemius",0.298401420959147,2
"42","study_274","mixed_gastrocnemius",0.435626102292768,2
"43","study_274","mixed_gastrocnemius",0.447971781305114,2
"44","study_274","mixed_gastrocnemius",0.455026455026454,2
"45","study_274","mixed_gastrocnemius",23.8862559241706,2
"46","study_274","mixed_gastrocnemius",88.9285714285714,2
"47","study_274","mixed_gastrocnemius",308.532423208191,2
"48","study_274","mixed_gastrocnemius",396.587030716723,2
"49","study_274","mixed_gastrocnemius",494.880546075085,2
"50","study_274","soleus_muscle",0.388489208633093,2
"51","study_274","soleus_muscle",0.429590017825311,2
"52","study_274","soleus_muscle",0.459893048128342,2
"53","study_274","soleus_muscle",0.465240641711229,2
"54","study_274","soleus_muscle",0.508021390374331,2
"55","study_274","soleus_muscle",6.03351955307261,2
"56","study_274","soleus_muscle",17.822966507177,2
"57","study_274","soleus_muscle",23.6871508379888,2
"58","study_274","soleus_muscle",107.053941908713,2
"59","study_274","soleus_muscle",114.642857142857,2
"60","study_274","soleus_muscle",200.414937759335,2
"61","study_274","soleus_muscle",1021.99170124481,2
"62","study_416","coelomic_liquid",0.011,2
"63","study_416","coelomic_liquid",0.33521,2
"64","study_416","coelomic_liquid",270.18072,2
"65","study_81","brain",0.61946,2
"66","study_81","brain",101.2987,2
