"","Reference","Year","Study_ID","Species","Family","Genus","Common.name","Type_of_animal","Thermoregulation","Class","Class_2","Ver_Invert","Developmental_stage","Location","Experiment_venue","Biological.process","Tissue","Experimental_manipulation","Experimental.value","Biomarker_category","Biomarker_cat_2","Biomarker_cat_3","Specific_biomarker","Unit","Euthermia_N","Euthermia_M","Euthermia_SD","Euthermia_SE","Hib_N","Hib_M","Hib_SD","Hib_SE","Arousal_N","Arousal_M","Arousal_SD","Arousal_SE","Observations","Observations2","Observer","Timing","Hibernation_timing","Arousal_timing","Adult_age_at_maturation_average","Adult_body_mass_g","Maximum_longevity_y","Litter_or_clutch_size","litters_or_clutches_per_y","Adult_SVL_cm","SMDH","SMDH.sv","SMDH_arousal","SMDH.sv_arousal"
"1","Wróbel et al 2000",2000,"study301","Rana temporaria","Ranidae","Rana","Common frog","Frog_toad","Ectothermic","Amphibia","Amphibia","Vertebrate",NA,"Poland","Field/Lab","Hibernation","Heart","none",NA,"Non-enzymatic","Antioxidant","Non-enzymatic","GSH","nmol/g fresh weight",5,0.331,0.0178885438199983,0.008,8,1.9,0.14142135623731,0.05,NA,NA,NA,NA,"Euthermia first. Euthermia is October and Hibernation is January. ",NA,"PB","Based on the season (Euthermia is October and Hibernation is January)",NA,NA,1590,47.6,27,4000,1,11,14.4757231870283,14.7954875152198,NA,NA
"2","Carey et al., 2000",2000,"study 66","Ictidomys tridecemlineatus","Sciuridae","Ictidomys","Thirteen-lined ground squirrel","Rodent","Endothermic","Mammalia","Mammalia","Vertebrate","adults","USA","Laboratory","Hibernation","intestine",NA,NA,"Non-enzymatic","Antioxidant","Non-enzymatic","GSSG","nmol/g protein",8,0.24,0.0282842712474619,0.01,4,1.08,0.08,0.04,NA,NA,NA,NA,NA,NA,"TP",NA,NA,NA,324.54784,182,7.9,8.09,1.185,27.175,12.9184385127432,22.7482687175176,NA,NA
"3","Drew et al., 1999",1999,"study 39","Urocitellus parryii","Sciuridae","Urocitellus","Arctic ground squirrels","Rodent","Endothermic","Mammalia","Mammalia","Vertebrate",NA,"USA","Seminatural","Hibernation","blood",NA,NA,"Non-enzymatic","Antioxidant","Non-enzymatic","ascorbate","µM",7,44.35798,12.3537007667015,4.66926,4,182.87938,10.89494,5.44747000000001,3,44.69526,11.7294653893645,6.77201,"euthermia before hibernation",NA,"TP","hibernation 20-50h;","early",NA,191.51356,747.09,2.575,6.3,1,34.246,10.8688301339848,7.36247814393673,0.0252758755691917,0.649448900349145
"4","Chauhan et al 2002",2002,"study166","Ursus americanus","Ursidae","Ursus","black bear","Bear","Endothermic","Mammalia","Mammalia","Vertebrate","adults","United States","Field/captivity","Hibernation","plasma","none","none","Lipid_damage","Oxidative_damage","Oxidative_damage","MDA","nmol/ml plasma",3,1.46210995542347,0.185301126515544,0.10698365527489,3,5.42050520059435,0.370602253031087,0.21396731054978,NA,NA,NA,NA,"Unclear which state was first",NA,"PB","Biological state based on the season",NA,NA,1278,132405,34,2.465,0.4,159.0435,10.7798111818417,20.7547359497472,NA,NA
"5","Anegawa et al., 2021",2021,"study 140","Mesocricetus auratus","Cricetidae","Mesocricetus","Syrian hamsters","Rodent","Endothermic","Mammalia","Mammalia","Vertebrate","adults","Japan","Laboratory","hibernation","Hepatocytes",NA,"male","ROS","ROS","ROS","MitoB","ratio of 18O-containing mitoP to mitoB ",2,0.008625,0.000558614357137373,NA,2,0.054815,0.00358503138061579,NA,NA,NA,NA,NA,NA,NA,"MP",NA,NA,NA,48,105,10,8.69,3.75,18,10.1574768058837,51.1995044137076,NA,NA
"6","Sahoo and Patnaik 2020",2020,"study 245","Duttaphrynus melanostictus","Bufonidae","Duttaphrynus","Asian common toad","Frog_toad","Ectothermic","Amphibia","Amphibia","Vertebrate","adult","India","Seminatural","hibernation","brain ",NA,"male ","Lipid_damage","Oxidative_damage","Oxidative_damage","LPO","TBARS/g Tissue",7,0.35422,0.0297382447363661,0.01124,7,0.58193,0.0223036835522746,0.00843000000000005,NA,NA,NA,NA,NA,NA,"MP","hibernation December and January","late",NA,365,122.3,4,NA,2,16,8.10812828151528,3.28732904071255,NA,NA
"7","Niu et al. 2019",2019,"study319","Nanorana parkeri","Dicroglossidae","Nanorana","High Himalaya frog","Frog_toad","Ectothermic","Amphibia","Amphibia","Vertebrate","adults","China","Field","Hibernation","muscle","none",NA,"Lipid_damage","Oxidative_damage","Oxidative_damage","xylenol orange method","nmol CHE/g fresh wet",6,1561.37479541734,360.808636416516,147.29950900164,6,5450.08183306055,577.293818266416,235.67921440262,NA,NA,NA,NA,"Euthermia first",NA,"PB","Based on the season",NA,NA,2190,8.7,8.7,399,1,5.5,7.454187065081,3.71172725118749,NA,NA
"8","Chazarin et al., 2019",2019,"study 186","Ursus arctos","Ursidae","Ursus","brown bear","Bear","Endothermic","Mammalia","Mammalia","Vertebrate","adults both sexes","Sweden","Field","Hibernation","muscle",NA,NA,"Enzymatic","Antioxidant","Enzymatic","PRDX 6 peroxiredoxini","relative protein levels",7,1.00474,0.075245167286677,0.02844,7,1.7109,0.100326889715569,0.03792,NA,NA,NA,NA,NA,NA,"TP","hibenration February ","late",NA,1316.7375,240500,50,2.27,0.4,228.5,7.45314557649588,2.82935209570084,NA,NA
"9","Sahoo and Patnaik 2021",2021,"study 350","Duttaphrynus melanostictus","Bufonidae","Duttaphrynus","Asian common toad","Frog_toad","Ectothermic","Amphibia","Amphibia","Vertebrate","adult","India","Seminatural","hibernation","brain",NA,"males","Lipid_damage","Oxidative_damage","Oxidative_damage","LPO","µM TBARS/g tissue",7,0.35257,0.0331512639276393,0.01253,7,0.57808,0.0331248064145286,0.01252,7,0.66935,0.0236794742340281,0.00895000000000001,"euthermia before hibernation ",NA,"MP","hibernation 2019, January, first week; arousal 2019, January, last week","probaly late","?",365,122.3,4,NA,2,16,6.36924375800089,2.02363716284724,10.2920928554773,5.21121914713131
"10","Nowakowska et al 2009",2009,"study364","Helix pomatia","Helicidae","Helix","Roman snail","Snail","Ectothermic","Gastropoda","Arthopoda","Invertebrate","adults","Poland","Captivity","Hibernation","hepatopancreas","none",NA,"Enzymatic","Antioxidant","Enzymatic","CAT","U/g prot min",10,3.77483443708609,1.04711180800278,0.33112582781457,5,9.03973509933774,0.592335888079425,0.264900662251661,NA,NA,NA,NA,"Hibernation first. Experiment in spring",NA,"PB","Based on the season. I think hibernation could be considered late hibernation.","late",NA,1460,34,20,65,3,5,5.82380316633627,1.62013720402283,NA,NA
