"","Reference"
"1","Afifi and Alkaladi, 2014"
"2","Allan and Storey, 2012"
"3","Anegawa et al., 2021"
"4","Astaeva and Klichkhanov 2009"
"5","Avci et al., 2014"
"6","Bhunia et al., 2016"
"7","Bitting et al., 1999"
"8","Bohr et al., 2014"
"9","Brown et al., 2011"
"10","Carey et al., 2000"
"11","Carey et al., 2003"
"12","Chauhan et al., 2002"
"13","Chazarin et al., 2019"
"14","Chen et al., 2018 "
"15","Cooper et al., 1992"
"16","Cooper et al., 2016"
"17","Dauphin-Villemant et al., 1990"
"18","Donahue et al., 2003"
"19","Donahue et al., 2003b"
"20","Drew et al., 1999"
"21","Feidantsis et al., 2013"
"22","Ferreira et al., 2003"
"23","Franco et al., 2013"
"24","Frobert et al., 2022"
"25","Giraud-Billoud et al., 2011"
"26","Giraud-Billoud et al., 2012"
"27","Giraud-Billoud et al., 2013"
"28","Giraud-Billoud et al., 2018"
"29","Giraud-Billoud et al., 2022"
"30","Giroud et al., 2021"
"31","Grund and Storey 1998"
"32","Gustafson and Belt 1981"
"33","Hudson et al., 2005"
"34","Kastner et al., 1978"
"35","Klanian 2013"
"36","Kurtz and Carey 2007"
"37","Liu et al., 2016"
"38","Logan and Storey 2018"
"39","Logan and Storey 2020"
"40","Logan et al., 2020"
"41","Lushchak et al., 2005"
"42","Lutterschmidt and Mason 2008"
"43","Lutterschmidt and Mason 2009"
"44","Lutterschmidt et al., 2022"
"45","Ma et al., 2005"
"46","Maniero 2002"
"47","Maniero 2005"
"48","Miao et al., 2022"
"49","Moore et al., 2013"
"50","Moreira et al., 2018"
"51","Moreira et al., 2021"
"52","Morin and Storey 2007"
"53","Morin and Storey 2008"
"54","Morin et al., 2008"
"55","Niu et al., 2019"
"56","Nowakowska et al., 2009"
"57","Nowakowska et al., 2010"
"58","Nowakowska et al., 2011"
"59","Nowakowska et al., 2014"
"60","Nowakowska et al., 2015"
"61","Oborne and Hashimoto 2006"
"62","Ohta et al., 2006"
"63","Okamoto et al., 2006"
"64","Orr et al., 2009"
"65","Osborne and Hashimoto 2007"
"66","Page et al., 2009"
"67","Prez-Pinzon and Rice 1995"
"68","Ramos-Vasconcelos et al., 2005"
"69","Rob et al., 2013"
"70","Roubel et al., 2011"
"71","Sahdo et al., 2013"
"72","Sahoo and Patnaik 2020"
"73","Sahoo and Patnaik 2021"
"74","Salway et al., 2010"
"75","Samanta and Paital 2016"
"76","Schwanz et al., 2011"
"77","Serkova et al., 2007"
"78","Shi et al., 2020"
"79","Shivatcheva et al., 1988"
"80","Sprenger et al., 2018"
"81","Talaei et al., 2012"
"82","Tang et al., 2021"
"83","Tessier et al., 2021"
"84","Tsiouris and Flory 2023"
"85","Vella et al., 2020"
"86","Vicente-Ferreira et al., 2021"
"87","Wai et al., 2019"
"88","Wang et al., 2020"
"89","Wei et al., 2018"
"90","Weitten et al., 2013"
"91","Wróbel et al., 2000"
"92","Wu et al., 2015"
"93","Xie et al., 2021"
"94","Xie et al., 2022"
"95","Xu et al., 2013"
"96","Xu et al., 2021"
"97","Yin et al., 2015"
"98","Young et al., 2012"
"99","Zena et al., 2019"
"100","Zhang et al., 2017"
"101","Zhang et al., 2017b"
